id,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
0,Guarani,Vasco,4,2,H,2003
1,Athletico-PR,Gremio,2,0,H,2003
2,Flamengo,Coritiba,1,1,D,2003
3,Goias,Paysandu,2,2,D,2003
4,Internacional,Ponte Preta,1,1,D,2003
5,Criciuma,Fluminense,2,0,H,2003
6,Juventude,Sao Paulo,2,2,D,2003
7,Fortaleza,Bahia,0,0,D,2003
8,Cruzeiro,Sao Caetano,2,2,D,2003
9,Vitoria,Figueirense,1,1,D,2003
10,Santos,Parana,2,2,D,2003
11,Corinthians,Atletico-MG,0,3,A,2003
12,Fluminense,Fortaleza,1,1,D,2003
13,Atletico-MG,Santos,0,0,D,2003
14,Coritiba,Internacional,0,1,A,2003
15,Gremio,Guarani,3,1,H,2003
16,Bahia,Flamengo,1,2,A,2003
17,Figueirense,Corinthians,3,3,D,2003
18,Paysandu,Vitoria,1,2,A,2003
19,Ponte Preta,Juventude,1,0,H,2003
20,Parana,Athletico-PR,3,0,H,2003
21,Sao Caetano,Criciuma,3,2,H,2003
22,Sao Paulo,Cruzeiro,2,4,A,2003
23,Vasco,Goias,6,4,H,2003
24,Paysandu,Santos,2,1,H,2003
25,Internacional,Bahia,2,0,H,2003
26,Santos,Figueirense,2,0,H,2003
27,Athletico-PR,Atletico-MG,1,2,A,2003
28,Corinthians,Paysandu,6,1,H,2003
29,Vitoria,Vasco,2,1,H,2003
30,Criciuma,Sao Paulo,1,1,D,2003
31,Fortaleza,Sao Caetano,1,1,D,2003
32,Juventude,Coritiba,2,1,H,2003
33,Guarani,Parana,2,0,H,2003
34,Goias,Gremio,1,1,D,2003
35,Cruzeiro,Ponte Preta,3,0,H,2003
36,Flamengo,Fluminense,4,1,H,2003
37,Bahia,Juventude,3,1,H,2003
38,Gremio,Vitoria,2,1,H,2003
39,Atletico-MG,Guarani,3,2,H,2003
40,Figueirense,Athletico-PR,1,1,D,2003
41,Ponte Preta,Criciuma,1,1,D,2003
42,Sao Caetano,Flamengo,1,1,D,2003
43,Vasco,Corinthians,2,2,D,2003
44,Coritiba,Cruzeiro,3,4,A,2003
45,Fluminense,Internacional,3,1,H,2003
46,Sao Paulo,Fortaleza,3,1,H,2003
47,Parana,Goias,3,1,H,2003
48,Flamengo,Cruzeiro,3,0,H,2003
49,Bahia,Atletico-MG,2,4,A,2003
50,Sao Caetano,Gremio,1,1,D,2003
51,Flamengo,Santos,0,2,A,2003
52,Sao Paulo,Vasco,3,1,H,2003
53,Internacional,Corinthians,2,1,H,2003
54,Criciuma,Guarani,1,0,H,2003
55,Juventude,Vitoria,1,1,D,2003
56,Fortaleza,Athletico-PR,1,0,H,2003
57,Ponte Preta,Paysandu,4,4,D,2003
58,Cruzeiro,Goias,4,1,H,2003
59,Fluminense,Parana,0,0,D,2003
60,Coritiba,Figueirense,1,0,H,2003
61,Atletico-MG,Coritiba,1,2,A,2003
62,Parana,Bahia,3,1,H,2003
63,Vitoria,Internacional,0,3,A,2003
64,Guarani,Cruzeiro,1,1,D,2003
65,Corinthians,Flamengo,1,1,D,2003
66,Goias,Juventude,7,0,H,2003
67,Figueirense,Ponte Preta,0,0,D,2003
68,Santos,Fortaleza,4,0,H,2003
69,Gremio,Fluminense,0,1,A,2003
70,Athletico-PR,Criciuma,4,2,H,2003
71,Paysandu,Sao Paulo,5,2,H,2003
72,Vasco,Sao Caetano,1,0,H,2003
73,Flamengo,Vitoria,2,1,H,2003
74,Bahia,Gremio,2,1,H,2003
75,Cruzeiro,Athletico-PR,5,2,H,2003
76,Fortaleza,Corinthians,1,2,A,2003
77,Sao Paulo,Figueirense,3,2,H,2003
78,Sao Caetano,Paysandu,2,0,H,2003
